Date,PlotID,Depth_relative,Temperature,Volumetric_water_content
5/12/2018,211,Deep,23.77375,0.03875511
5/12/2018,221,Deep,23.75083,0.03984711
5/12/2018,522,Deep,23.73536,0.04411381
5/12/2018,421,Shallow,23.70471,0.04420113
5/12/2018,521,Deep,23.69782,0.05128598
5/12/2018,322,Deep,23.61925,0.0418884
5/12/2018,222,Deep,23.4,0.04414844
5/12/2018,422,Deep,23.38329,0.03358901
5/12/2018,621,Deep,23.36779,0.04382107
5/12/2018,612,Deep,23.33521,0.02815922
5/12/2018,311,Deep,23.32979,0.03439867
5/12/2018,321,Deep,23.25716,0.06700287
5/12/2018,212,Deep,23.25125,0.04982344
5/12/2018,122,Deep,23.21335,0.06321306
5/12/2018,412,Deep,23.12259,0.03339931
5/12/2018,611,Deep,23.04438,0.05869109
5/12/2018,511,Deep,22.98938,0.05412261
5/12/2018,622,Deep,22.97824,0.04816257
5/12/2018,112,Deep,22.87049,0.05411244
5/12/2018,111,Deep,22.86373,0.04688969
5/12/2018,312,Deep,22.84623,0.04813276
5/12/2018,411,Deep,22.66525,0.05934238
5/12/2018,512,Deep,22.62131,0.02692132
5/11/2018,332,Shallow,30.49124,0.04533717
5/11/2018,532,Shallow,29.76912,0.03092751
5/11/2018,232,Shallow,29.15833,0.04674099
5/11/2018,431,Shallow,29.10436,0.01723749
5/11/2018,531,Shallow,29.07741,0.0763848
5/11/2018,432,Shallow,29.00067,0.03657404
5/11/2018,231,Shallow,28.9425,0.03613067
5/11/2018,132,Shallow,28.72261,0.0749637
5/11/2018,131,Shallow,28.6023,0.03767569
5/11/2018,331,Shallow,28.54423,0.05542444
5/11/2018,631,Shallow,28.52288,0.06162599
5/11/2018,632,Shallow,28.18877,0.0547915
5/11/2018,122,Shallow,27.73232,0.0446383
5/11/2018,522,Shallow,27.57063,0.03025428
5/11/2018,521,Shallow,27.45342,0.0498821
5/11/2018,212,Shallow,27.17667,0.03791916
5/11/2018,221,Shallow,27.17375,0.03887266
5/11/2018,322,Shallow,27.17082,0.03702937
5/11/2018,121,Shallow,27.16507,0.04519743
5/11/2018,611,Shallow,27.15979,0.03562206
5/11/2018,112,Shallow,27.09643,0.05568196
5/11/2018,412,Shallow,27.01203,0.04583582
5/11/2018,111,Shallow,26.99579,0.03089136
5/11/2018,222,Shallow,26.97167,0.04108034
5/11/2018,622,Shallow,26.88292,0.03024445
5/11/2018,422,Shallow,26.87688,0.03367807
5/11/2018,321,Shallow,26.73557,0.03733134
5/11/2018,621,Shallow,26.72954,0.03331946
5/11/2018,612,Shallow,26.68328,0.04353658
5/11/2018,312,Shallow,26.48598,0.038547
5/11/2018,512,Shallow,26.47761,0.02671909
5/11/2018,311,Shallow,26.46348,0.04052309
5/11/2018,411,Shallow,26.44412,0.04530315
5/11/2018,421,Deep,26.30689,0.03739667
